time,Open,High,Low,Close,Volume,spread,real_volume
2025-06-03 12:45:00,142.848,142.916,142.807,142.858,824,0,0
2025-06-03 13:00:00,142.859,142.932,142.838,142.924,838,0,0
2025-06-03 13:15:00,142.924,143.007,142.907,142.986,766,0,0
2025-06-03 13:30:00,142.986,143.037,142.902,142.924,925,0,0
2025-06-03 13:45:00,142.924,143.078,142.92,143.058,915,0,0
2025-06-03 14:00:00,143.057,143.13,143.046,143.099,891,0,0
2025-06-03 14:15:00,143.099,143.161,143.099,143.15,815,0,0
2025-06-03 14:30:00,143.15,143.152,143.067,143.115,809,0,0
2025-06-03 14:45:00,143.115,143.115,143.061,143.085,907,0,0
2025-06-03 15:00:00,143.085,143.229,143.052,143.209,1099,0,0
2025-06-03 15:15:00,143.209,143.283,143.199,143.252,1094,0,0
2025-06-03 15:30:00,143.253,143.358,143.248,143.341,1090,0,0
2025-06-03 15:45:00,143.341,143.446,143.321,143.42,1204,0,0
2025-06-03 16:00:00,143.42,143.443,143.332,143.338,1171,0,0
2025-06-03 16:15:00,143.338,143.447,143.338,143.43,941,0,0
2025-06-03 16:30:00,143.43,143.52,143.369,143.476,1718,0,0
2025-06-03 16:45:00,143.475,143.617,143.473,143.547,1705,0,0
2025-06-03 17:00:00,143.537,143.94,143.537,143.81,2492,0,0
2025-06-03 17:15:00,143.811,143.858,143.699,143.806,1803,0,0
2025-06-03 17:30:00,143.806,143.818,143.665,143.676,1800,0,0
2025-06-03 17:45:00,143.675,143.809,143.675,143.774,1479,0,0
2025-06-03 18:00:00,143.774,143.89,143.721,143.868,1625,0,0
2025-06-03 18:15:00,143.867,143.958,143.845,143.873,1331,0,0
2025-06-03 18:30:00,143.873,143.94,143.822,143.886,1132,0,0
2025-06-03 18:45:00,143.886,143.992,143.837,143.942,1267,0,0
2025-06-03 19:00:00,143.942,143.97,143.88,143.93,919,0,0
2025-06-03 19:15:00,143.93,144.022,143.929,144.02,638,0,0
2025-06-03 19:30:00,144.023,144.108,144.022,144.061,887,0,0
2025-06-03 19:45:00,144.062,144.074,143.968,143.983,627,0,0
2025-06-03 20:00:00,143.983,143.986,143.935,143.956,767,0,0
2025-06-03 20:15:00,143.956,144.031,143.885,143.887,616,0,0
2025-06-03 20:30:00,143.887,143.907,143.865,143.886,528,0,0
2025-06-03 20:45:00,143.886,143.92,143.842,143.848,641,0,0
2025-06-03 21:00:00,143.849,143.909,143.841,143.889,714,0,0
2025-06-03 21:15:00,143.889,143.905,143.852,143.889,686,0,0
2025-06-03 21:30:00,143.889,143.945,143.88,143.926,730,0,0
2025-06-03 21:45:00,143.926,143.939,143.893,143.91,514,0,0
2025-06-03 22:00:00,143.91,143.963,143.902,143.963,645,0,0
2025-06-03 22:15:00,143.963,144.016,143.963,144.006,409,0,0
2025-06-03 22:30:00,144.006,144.022,143.988,143.992,436,0,0
2025-06-03 22:45:00,143.992,144.108,143.979,144.074,487,0,0
2025-06-03 23:00:00,144.074,144.079,143.998,144.03,323,0,0
2025-06-03 23:15:00,144.03,144.03,143.971,144.007,447,0,0
2025-06-03 23:30:00,144.007,144.008,143.959,143.964,273,0,0
2025-06-03 23:45:00,143.964,144.03,143.951,143.985,294,10,0
2025-06-04 00:00:00,143.933,143.955,143.635,143.955,134,70,0
2025-06-04 00:15:00,143.955,143.955,143.918,143.922,29,120,0
2025-06-04 00:30:00,143.922,143.923,143.914,143.922,23,120,0
2025-06-04 00:45:00,143.922,144.007,143.899,143.933,198,72,0
2025-06-04 01:00:00,143.933,144.007,143.911,143.981,227,0,0
2025-06-04 01:15:00,143.981,144.048,143.961,144.035,176,0,0
2025-06-04 01:30:00,144.035,144.036,143.961,143.967,167,0,0
2025-06-04 01:45:00,143.967,143.984,143.912,143.965,192,0,0
2025-06-04 02:00:00,143.965,143.965,143.888,143.933,314,0,0
2025-06-04 02:15:00,143.933,144.037,143.931,143.988,308,0,0
2025-06-04 02:30:00,143.988,143.995,143.89,143.896,362,0,0
2025-06-04 02:45:00,143.896,143.896,143.802,143.82,607,0,0
2025-06-04 03:00:00,143.82,144.014,143.801,143.928,1172,0,0
2025-06-04 03:15:00,143.927,143.945,143.776,143.895,1021,0,0
2025-06-04 03:30:00,143.895,143.96,143.842,143.893,889,0,0
2025-06-04 03:45:00,143.893,144.032,143.856,143.993,1313,0,0
2025-06-04 04:00:00,143.993,144.283,143.879,143.892,1496,0,0
2025-06-04 04:15:00,143.892,143.924,143.788,143.834,1049,0,0
2025-06-04 04:30:00,143.833,143.864,143.677,143.743,1153,0,0
2025-06-04 04:45:00,143.743,143.761,143.675,143.759,1042,0,0
2025-06-04 05:00:00,143.759,143.821,143.706,143.791,935,0,0
2025-06-04 05:15:00,143.792,143.894,143.79,143.868,712,0,0
2025-06-04 05:30:00,143.868,143.951,143.868,143.944,664,0,0
2025-06-04 05:45:00,143.944,143.979,143.86,143.927,631,0,0
2025-06-04 06:00:00,143.927,143.948,143.838,143.875,572,0,0
2025-06-04 06:15:00,143.876,143.99,143.876,143.976,344,0,0
2025-06-04 06:30:00,143.976,144.095,143.975,144.059,726,0,0
2025-06-04 06:45:00,144.059,144.106,144.024,144.062,578,0,0
2025-06-04 07:00:00,144.062,144.139,143.984,144.068,787,0,0
2025-06-04 07:15:00,144.068,144.117,144.024,144.066,589,0,0
2025-06-04 07:30:00,144.066,144.211,144.05,144.159,638,0,0
2025-06-04 07:45:00,144.161,144.284,144.14,144.255,623,0,0
2025-06-04 08:00:00,144.255,144.278,144.206,144.239,768,0,0
2025-06-04 08:15:00,144.239,144.262,144.189,144.209,800,0,0
2025-06-04 08:30:00,144.209,144.391,144.198,144.214,996,0,0
2025-06-04 08:45:00,144.214,144.263,144.134,144.213,899,0,0
2025-06-04 09:00:00,144.213,144.315,144.124,144.134,1020,0,0
2025-06-04 09:15:00,144.135,144.148,143.964,143.964,1162,0,0
2025-06-04 09:30:00,143.97,144.017,143.886,143.925,1108,0,0
2025-06-04 09:45:00,143.925,144.034,143.925,143.977,927,0,0
2025-06-04 10:00:00,143.977,143.978,143.818,143.881,1317,0,0
2025-06-04 10:15:00,143.884,143.922,143.812,143.814,949,0,0
2025-06-04 10:30:00,143.814,143.943,143.798,143.915,790,0,0
2025-06-04 10:45:00,143.915,144.095,143.915,144.088,906,0,0
2025-06-04 11:00:00,144.089,144.182,144.021,144.078,1003,0,0
2025-06-04 11:15:00,144.076,144.169,144.029,144.029,842,0,0
2025-06-04 11:30:00,144.029,144.029,143.9,143.909,909,0,0
2025-06-04 11:45:00,143.909,143.934,143.847,143.892,910,0,0
2025-06-04 12:00:00,143.891,143.946,143.854,143.913,993,0,0
2025-06-04 12:15:00,143.913,143.979,143.893,143.956,869,0,0
2025-06-04 12:30:00,143.956,144.064,143.914,144.047,611,0,0
2025-06-04 12:45:00,144.047,144.108,144.023,144.094,801,0,0
2025-06-04 13:00:00,144.094,144.273,144.077,144.215,1239,0,0
2025-06-04 13:15:00,144.215,144.24,144.075,144.088,739,0,0
2025-06-04 13:30:00,144.088,144.235,144.052,144.227,764,0,0
2025-06-04 13:45:00,144.227,144.312,144.198,144.251,791,0,0
2025-06-04 14:00:00,144.252,144.263,144.171,144.192,806,0,0
2025-06-04 14:15:00,144.192,144.255,144.144,144.253,670,0,0
2025-06-04 14:30:00,144.252,144.3,144.23,144.292,789,0,0
2025-06-04 14:45:00,144.292,144.315,144.237,144.271,891,0,0
2025-06-04 15:00:00,144.271,144.274,144.176,144.272,952,0,0
2025-06-04 15:15:00,144.269,144.269,143.635,143.78,2618,0,0
2025-06-04 15:30:00,143.78,143.789,143.554,143.581,1798,0,0
2025-06-04 15:45:00,143.581,143.609,143.507,143.557,1703,0,0
2025-06-04 16:00:00,143.555,143.669,143.514,143.648,1479,0,0
2025-06-04 16:15:00,143.648,143.708,143.592,143.636,1257,0,0
2025-06-04 16:30:00,143.639,143.788,143.625,143.697,1493,0,0
2025-06-04 16:45:00,143.698,143.832,143.676,143.687,1664,0,0
2025-06-04 17:00:00,143.68,143.68,143.117,143.247,2802,0,0
2025-06-04 17:15:00,143.242,143.299,143.166,143.244,1866,0,0
2025-06-04 17:30:00,143.244,143.282,142.997,143.026,1763,0,0
2025-06-04 17:45:00,143.026,143.152,143.004,143.135,1754,0,0
2025-06-04 18:00:00,143.136,143.232,143.111,143.168,1322,0,0
2025-06-04 18:15:00,143.168,143.172,142.955,142.972,1674,0,0
2025-06-04 18:30:00,142.972,143.058,142.927,142.94,1297,0,0
2025-06-04 18:45:00,142.94,143.029,142.917,142.919,1327,0,0
2025-06-04 19:00:00,142.919,142.92,142.743,142.756,1146,0,0
2025-06-04 19:15:00,142.756,142.849,142.733,142.735,868,0,0
2025-06-04 19:30:00,142.736,142.746,142.682,142.706,663,0,0
2025-06-04 19:45:00,142.705,142.724,142.605,142.64,655,0,0
2025-06-04 20:00:00,142.641,142.698,142.631,142.687,724,0,0
2025-06-04 20:15:00,142.687,142.786,142.687,142.729,648,0,0
2025-06-04 20:30:00,142.729,142.73,142.636,142.708,567,0,0
2025-06-04 20:45:00,142.708,142.782,142.674,142.776,784,0,0
2025-06-04 21:00:00,142.776,142.83,142.714,142.723,686,0,0
2025-06-04 21:15:00,142.723,142.779,142.715,142.768,603,0,0
2025-06-04 21:30:00,142.768,142.828,142.752,142.82,420,0,0
2025-06-04 21:45:00,142.82,142.836,142.779,142.81,705,0,0
2025-06-04 22:00:00,142.81,142.843,142.789,142.827,386,0,0
2025-06-04 22:15:00,142.827,142.892,142.805,142.867,481,0,0
2025-06-04 22:30:00,142.866,142.928,142.851,142.916,436,0,0
2025-06-04 22:45:00,142.916,142.921,142.864,142.885,558,0,0
2025-06-04 23:00:00,142.885,142.898,142.835,142.859,320,0,0
2025-06-04 23:15:00,142.859,142.886,142.837,142.841,266,0,0
2025-06-04 23:30:00,142.841,142.852,142.767,142.777,377,0,0
2025-06-04 23:45:00,142.777,142.785,142.703,142.725,364,10,0
2025-06-05 00:00:00,142.742,142.742,142.69,142.694,36,66,0
2025-06-05 00:15:00,142.694,142.706,142.685,142.689,39,66,0
2025-06-05 00:30:00,142.689,142.799,142.689,142.782,104,66,0
2025-06-05 00:45:00,142.782,142.798,142.709,142.725,109,66,0
2025-06-05 01:00:00,142.725,142.826,142.713,142.807,176,0,0
2025-06-05 01:15:00,142.807,142.833,142.761,142.767,279,0,0
2025-06-05 01:30:00,142.767,142.788,142.733,142.738,169,0,0
2025-06-05 01:45:00,142.738,142.776,142.73,142.775,209,0,0
2025-06-05 02:00:00,142.775,142.792,142.749,142.76,321,0,0
2025-06-05 02:15:00,142.76,142.76,142.533,142.57,628,0,0
2025-06-05 02:30:00,142.57,142.709,142.57,142.704,481,0,0
2025-06-05 02:45:00,142.704,142.832,142.685,142.727,613,0,0
2025-06-05 03:00:00,142.727,142.851,142.635,142.636,1110,0,0
2025-06-05 03:15:00,142.636,142.776,142.614,142.648,1000,0,0
2025-06-05 03:30:00,142.648,142.84,142.638,142.76,1008,0,0
2025-06-05 03:45:00,142.76,142.761,142.619,142.665,1242,0,0
2025-06-05 04:00:00,142.667,142.759,142.571,142.737,1033,0,0
2025-06-05 04:15:00,142.737,142.89,142.725,142.83,1197,0,0
2025-06-05 04:30:00,142.83,142.974,142.813,142.93,828,0,0
2025-06-05 04:45:00,142.943,142.973,142.871,142.923,812,0,0
2025-06-05 05:00:00,142.923,142.934,142.818,142.878,801,0,0
2025-06-05 05:15:00,142.878,142.974,142.861,142.891,597,0,0
2025-06-05 05:30:00,142.891,142.95,142.823,142.912,625,0,0
2025-06-05 05:45:00,142.912,142.955,142.878,142.892,481,0,0
2025-06-05 06:00:00,142.892,142.909,142.816,142.888,581,0,0
2025-06-05 06:15:00,142.888,142.888,142.809,142.828,589,0,0
2025-06-05 06:30:00,142.828,142.915,142.705,142.809,889,0,0
2025-06-05 06:45:00,142.809,143.028,142.777,142.994,879,0,0
2025-06-05 07:00:00,142.994,143.046,142.903,142.944,852,0,0
2025-06-05 07:15:00,142.944,143.036,142.943,143.008,832,0,0
2025-06-05 07:30:00,143.008,143.077,142.94,142.951,729,0,0
2025-06-05 07:45:00,142.951,143.058,142.95,143.032,626,0,0
2025-06-05 08:00:00,143.032,143.067,143.011,143.032,652,0,0
2025-06-05 08:15:00,143.032,143.098,143.006,143.096,637,0,0
2025-06-05 08:30:00,143.095,143.151,143.074,143.136,680,0,0
2025-06-05 08:45:00,143.136,143.177,143.125,143.155,662,0,0
2025-06-05 09:00:00,143.155,143.176,143.031,143.088,943,0,0
2025-06-05 09:15:00,143.088,143.145,143.044,143.102,815,0,0
2025-06-05 09:30:00,143.102,143.208,143.065,143.203,1049,0,0
2025-06-05 09:45:00,143.203,143.242,143.14,143.232,1010,0,0
2025-06-05 10:00:00,143.233,143.256,143.108,143.171,1285,0,0
2025-06-05 10:15:00,143.171,143.175,143.075,143.135,967,0,0
2025-06-05 10:30:00,143.136,143.261,143.097,143.241,1047,0,0
2025-06-05 10:45:00,143.241,143.395,143.241,143.35,1062,0,0
2025-06-05 11:00:00,143.349,143.353,143.27,143.35,1102,0,0
2025-06-05 11:15:00,143.35,143.402,143.329,143.346,829,0,0
2025-06-05 11:30:00,143.346,143.378,143.298,143.318,996,0,0
2025-06-05 11:45:00,143.318,143.337,143.253,143.28,935,0,0
2025-06-05 12:00:00,143.28,143.301,143.183,143.187,1199,0,0
2025-06-05 12:15:00,143.187,143.225,143.137,143.137,929,0,0
2025-06-05 12:30:00,143.137,143.237,143.115,143.234,759,0,0
2025-06-05 12:45:00,143.234,143.247,143.176,143.22,843,0,0
2025-06-05 13:00:00,143.22,143.226,143.094,143.166,989,0,0
2025-06-05 13:15:00,143.167,143.179,143.072,143.087,748,0,0
2025-06-05 13:30:00,143.087,143.116,143.03,143.069,725,0,0
2025-06-05 13:45:00,143.069,143.147,143.059,143.134,755,0,0
2025-06-05 14:00:00,143.134,143.151,143.065,143.094,763,0,0
2025-06-05 14:15:00,143.094,143.231,143.066,143.207,1055,0,0
2025-06-05 14:30:00,143.207,143.325,143.207,143.285,915,0,0
2025-06-05 14:45:00,143.284,143.321,143.253,143.27,952,0,0
2025-06-05 15:00:00,143.272,143.298,143.242,143.261,1068,0,0
2025-06-05 15:15:00,143.261,143.32,143.147,143.195,1698,0,0
2025-06-05 15:30:00,143.195,143.195,142.777,142.949,2436,0,0
2025-06-05 15:45:00,142.951,143.692,142.925,143.377,2845,0,0
2025-06-05 16:00:00,143.37,143.531,143.223,143.239,2816,0,0
2025-06-05 16:15:00,143.236,143.3,143.026,143.086,2151,0,0
2025-06-05 16:30:00,143.084,143.144,142.927,142.982,2478,0,0
2025-06-05 16:45:00,142.983,143.059,142.899,143.028,2159,0,0
2025-06-05 17:00:00,143.028,143.271,143.027,143.168,2220,0,0
2025-06-05 17:15:00,143.167,143.336,143.1,143.28,1870,0,0
2025-06-05 17:30:00,143.279,143.541,143.124,143.329,2255,0,0
2025-06-05 17:45:00,143.326,143.509,143.297,143.457,2222,0,0
2025-06-05 18:00:00,143.459,143.68,143.453,143.647,1673,0,0
2025-06-05 18:15:00,143.646,143.728,143.554,143.671,1559,0,0
2025-06-05 18:30:00,143.671,143.902,143.67,143.882,1530,0,0
2025-06-05 18:45:00,143.882,143.974,143.832,143.865,1419,0,0
2025-06-05 19:00:00,143.864,143.974,143.85,143.868,1240,0,0
2025-06-05 19:15:00,143.868,143.889,143.753,143.769,1130,0,0
2025-06-05 19:30:00,143.762,143.786,143.69,143.7,669,0,0
2025-06-05 19:45:00,143.7,143.703,143.523,143.533,1383,0,0
2025-06-05 20:00:00,143.532,143.762,143.521,143.735,908,0,0
2025-06-05 20:15:00,143.735,143.767,143.708,143.749,694,0,0
2025-06-05 20:30:00,143.748,143.854,143.73,143.806,576,0,0
2025-06-05 20:45:00,143.806,143.812,143.672,143.682,671,0,0
2025-06-05 21:00:00,143.682,143.723,143.614,143.659,695,0,0
2025-06-05 21:15:00,143.659,143.678,143.573,143.667,714,0,0
2025-06-05 21:30:00,143.667,143.706,143.656,143.698,869,0,0
2025-06-05 21:45:00,143.698,143.759,143.574,143.632,891,0,0
2025-06-05 22:00:00,143.632,143.718,143.628,143.69,909,0,0
2025-06-05 22:15:00,143.689,143.698,143.472,143.597,1541,0,0
2025-06-05 22:30:00,143.597,143.765,143.597,143.743,1387,0,0
2025-06-05 22:45:00,143.743,143.768,143.646,143.69,1405,0,0
2025-06-05 23:00:00,143.69,143.782,143.573,143.583,677,0,0
2025-06-05 23:15:00,143.583,143.599,143.554,143.588,483,0,0
2025-06-05 23:30:00,143.588,143.589,143.515,143.583,668,0,0
2025-06-05 23:45:00,143.583,143.637,143.555,143.572,795,10,0
2025-06-06 00:00:00,143.496,143.582,143.385,143.466,130,70,0
2025-06-06 00:15:00,143.466,143.49,143.437,143.49,58,120,0
2025-06-06 00:30:00,143.49,143.492,143.43,143.462,80,120,0
2025-06-06 00:45:00,143.462,143.507,143.442,143.494,101,92,0
2025-06-06 01:00:00,143.494,143.526,143.458,143.464,353,0,0
2025-06-06 01:15:00,143.464,143.561,143.455,143.549,369,0,0
2025-06-06 01:30:00,143.549,143.551,143.508,143.516,201,0,0
2025-06-06 01:45:00,143.516,143.554,143.502,143.525,242,0,0
2025-06-06 02:00:00,143.525,143.584,143.498,143.527,294,0,0
2025-06-06 02:15:00,143.527,143.528,143.46,143.509,428,0,0
2025-06-06 02:30:00,143.507,143.546,143.473,143.534,300,0,0
2025-06-06 02:45:00,143.534,143.599,143.515,143.555,528,0,0
2025-06-06 03:00:00,143.556,143.644,143.53,143.614,1031,0,0
2025-06-06 03:15:00,143.614,143.65,143.582,143.639,760,0,0
2025-06-06 03:30:00,143.639,143.696,143.638,143.674,617,0,0
2025-06-06 03:45:00,143.673,143.751,143.63,143.724,982,0,0
2025-06-06 04:00:00,143.725,143.791,143.696,143.717,723,0,0
2025-06-06 04:15:00,143.717,143.759,143.625,143.645,664,0,0
2025-06-06 04:30:00,143.645,143.776,143.627,143.765,746,0,0
2025-06-06 04:45:00,143.765,143.782,143.656,143.67,902,0,0
2025-06-06 05:00:00,143.67,143.814,143.648,143.794,622,0,0
2025-06-06 05:15:00,143.794,143.89,143.754,143.835,768,0,0
2025-06-06 05:30:00,143.835,143.903,143.828,143.889,607,0,0
2025-06-06 05:45:00,143.889,143.896,143.815,143.84,624,0,0
2025-06-06 06:00:00,143.84,143.849,143.762,143.771,724,0,0
2025-06-06 06:15:00,143.771,143.779,143.716,143.778,700,0,0
2025-06-06 06:30:00,143.778,143.823,143.755,143.787,478,0,0
2025-06-06 06:45:00,143.782,143.786,143.731,143.762,340,0,0
2025-06-06 07:00:00,143.759,143.882,143.734,143.849,618,0,0
2025-06-06 07:15:00,143.849,143.853,143.809,143.819,602,0,0
2025-06-06 07:30:00,143.819,143.849,143.779,143.849,477,0,0
2025-06-06 07:45:00,143.849,143.866,143.789,143.839,379,0,0
2025-06-06 08:00:00,143.839,143.898,143.817,143.878,749,0,0
2025-06-06 08:15:00,143.878,143.964,143.847,143.943,616,0,0
2025-06-06 08:30:00,143.943,143.981,143.888,143.952,525,0,0
2025-06-06 08:45:00,143.952,143.959,143.865,143.87,601,0,0
2025-06-06 09:00:00,143.87,143.975,143.814,143.963,732,0,0
2025-06-06 09:15:00,143.963,144.064,143.926,144.005,1085,0,0
2025-06-06 09:30:00,144.005,144.134,144.003,144.089,910,0,0
2025-06-06 09:45:00,144.09,144.097,143.992,144.027,1057,0,0
2025-06-06 10:00:00,144.027,144.139,143.958,143.992,1084,0,0
2025-06-06 10:15:00,143.992,144.006,143.89,143.961,1188,0,0
2025-06-06 10:30:00,143.961,143.982,143.863,143.875,1076,0,0
2025-06-06 10:45:00,143.875,143.932,143.804,143.909,1014,0,0
2025-06-06 11:00:00,143.909,143.967,143.906,143.928,918,0,0
2025-06-06 11:15:00,143.928,143.953,143.881,143.936,773,0,0
2025-06-06 11:30:00,143.935,144.024,143.908,143.975,835,0,0
2025-06-06 11:45:00,143.975,144.07,143.975,144.06,760,0,0
2025-06-06 12:00:00,144.057,144.151,144.056,144.135,829,0,0
2025-06-06 12:15:00,144.135,144.147,144.098,144.119,860,0,0
2025-06-06 12:30:00,144.121,144.151,144.003,144.014,934,0,0
2025-06-06 12:45:00,144.014,144.194,144.014,144.163,1089,0,0
2025-06-06 13:00:00,144.164,144.164,144.074,144.097,790,0,0
2025-06-06 13:15:00,144.097,144.143,144.04,144.086,850,0,0
2025-06-06 13:30:00,144.085,144.094,144.024,144.068,776,0,0
2025-06-06 13:45:00,144.068,144.106,144.048,144.085,583,0,0
2025-06-06 14:00:00,144.085,144.15,144.055,144.135,751,0,0
2025-06-06 14:15:00,144.135,144.189,144.118,144.159,707,0,0
2025-06-06 14:30:00,144.159,144.184,144.076,144.141,960,0,0
2025-06-06 14:45:00,144.141,144.184,144.124,144.157,1107,0,0
2025-06-06 15:00:00,144.157,144.335,144.14,144.305,1137,0,0
2025-06-06 15:15:00,144.305,144.314,144.206,144.235,1266,0,0
2025-06-06 15:30:00,144.235,144.742,144.085,144.513,3501,0,0
2025-06-06 15:45:00,144.515,144.624,144.425,144.624,2668,0,0
2025-06-06 16:00:00,144.624,144.779,144.556,144.641,2329,0,0
2025-06-06 16:15:00,144.64,144.897,144.587,144.87,2103,0,0
2025-06-06 16:30:00,144.87,144.964,144.743,144.941,2620,0,0
2025-06-06 16:45:00,144.941,144.975,144.81,144.911,2352,0,0
2025-06-06 17:00:00,144.908,144.985,144.803,144.846,2357,0,0
2025-06-06 17:15:00,144.844,144.945,144.618,144.669,2249,0,0
2025-06-06 17:30:00,144.669,144.839,144.658,144.828,1792,0,0
2025-06-06 17:45:00,144.828,145.024,144.827,144.901,2039,0,0
2025-06-06 18:00:00,144.899,145.089,144.888,145.061,1726,0,0
2025-06-06 18:15:00,145.061,145.066,144.865,144.891,1824,0,0
2025-06-06 18:30:00,144.891,144.919,144.764,144.807,1523,0,0
2025-06-06 18:45:00,144.807,144.883,144.785,144.88,1191,0,0
2025-06-06 19:00:00,144.88,144.923,144.84,144.921,1090,0,0
2025-06-06 19:15:00,144.921,144.931,144.819,144.931,1128,0,0
2025-06-06 19:30:00,144.928,144.983,144.895,144.911,1177,0,0
2025-06-06 19:45:00,144.911,144.968,144.88,144.967,1290,0,0
2025-06-06 20:00:00,144.967,144.97,144.839,144.87,957,0,0
2025-06-06 20:15:00,144.87,144.915,144.849,144.894,821,0,0
2025-06-06 20:30:00,144.895,144.967,144.881,144.942,812,0,0
2025-06-06 20:45:00,144.942,144.95,144.829,144.869,453,0,0
2025-06-06 21:00:00,144.869,144.908,144.837,144.891,759,0,0
2025-06-06 21:15:00,144.891,144.904,144.837,144.858,713,0,0
2025-06-06 21:30:00,144.858,144.896,144.813,144.849,883,0,0
2025-06-06 21:45:00,144.849,144.88,144.837,144.85,590,0,0
2025-06-06 22:00:00,144.85,144.85,144.784,144.795,581,0,0
2025-06-06 22:15:00,144.795,144.833,144.774,144.825,593,0,0
2025-06-06 22:30:00,144.825,144.838,144.79,144.795,508,0,0
2025-06-06 22:45:00,144.795,144.827,144.772,144.788,614,0,0
2025-06-06 23:00:00,144.788,144.827,144.782,144.825,363,0,0
2025-06-06 23:15:00,144.825,144.829,144.801,144.81,292,0,0
2025-06-06 23:30:00,144.81,144.871,144.808,144.857,201,0,0
2025-06-06 23:45:00,144.857,144.885,144.842,144.855,223,0,0
2025-06-09 00:00:00,144.8,144.816,144.749,144.775,40,66,0
2025-06-09 00:15:00,144.775,144.782,144.75,144.769,71,66,0
2025-06-09 00:30:00,144.769,144.77,144.755,144.763,80,66,0
2025-06-09 00:45:00,144.763,144.763,144.737,144.741,73,66,0
2025-06-09 01:00:00,144.741,144.782,144.701,144.717,275,0,0
2025-06-09 01:15:00,144.717,144.719,144.699,144.708,208,0,0
2025-06-09 01:30:00,144.708,144.708,144.648,144.684,251,0,0
2025-06-09 01:45:00,144.684,144.731,144.684,144.694,189,0,0
2025-06-09 02:00:00,144.694,144.697,144.61,144.634,375,0,0
2025-06-09 02:15:00,144.634,144.688,144.631,144.634,325,0,0
2025-06-09 02:30:00,144.634,144.718,144.603,144.716,257,0,0
2025-06-09 02:45:00,144.716,144.747,144.675,144.694,426,0,0
2025-06-09 03:00:00,144.694,144.696,144.581,144.665,759,0,0
2025-06-09 03:15:00,144.665,144.826,144.665,144.806,747,0,0
2025-06-09 03:30:00,144.803,144.803,144.644,144.773,752,0,0
2025-06-09 03:45:00,144.774,144.948,144.761,144.938,1044,0,0
2025-06-09 04:00:00,144.938,144.941,144.725,144.742,795,0,0
2025-06-09 04:15:00,144.742,144.783,144.57,144.638,693,0,0
2025-06-09 04:30:00,144.638,144.686,144.552,144.573,728,0,0
2025-06-09 04:45:00,144.573,144.574,144.477,144.544,796,0,0
2025-06-09 05:00:00,144.544,144.571,144.392,144.416,899,0,0
2025-06-09 05:15:00,144.416,144.484,144.351,144.393,631,0,0
2025-06-09 05:30:00,144.393,144.47,144.375,144.447,452,0,0
2025-06-09 05:45:00,144.447,144.508,144.414,144.501,541,0,0
2025-06-09 06:00:00,144.501,144.503,144.363,144.365,504,0,0
2025-06-09 06:15:00,144.365,144.473,144.354,144.457,375,0,0
2025-06-09 06:30:00,144.457,144.513,144.447,144.5,483,0,0
2025-06-09 06:45:00,144.5,144.508,144.437,144.496,429,0,0
2025-06-09 07:00:00,144.496,144.499,144.417,144.446,517,0,0
2025-06-09 07:15:00,144.446,144.459,144.394,144.425,311,0,0
2025-06-09 07:30:00,144.425,144.47,144.382,144.419,406,0,0
2025-06-09 07:45:00,144.419,144.444,144.351,144.383,486,0,0
