time,Open,High,Low,Close,Volume,spread,real_volume
2019-05-27 00:00:00,109.266,109.513,109.266,109.481,6843,0,0
2019-05-27 04:00:00,109.481,109.5,109.405,109.483,9030,0,0
2019-05-27 08:00:00,109.483,109.585,109.461,109.491,11133,0,0
2019-05-27 12:00:00,109.491,109.511,109.444,109.502,6026,0,0
2019-05-27 16:00:00,109.502,109.564,109.47,109.533,4917,0,0
2019-05-27 20:00:00,109.532,109.551,109.507,109.524,2667,0,0
2019-05-28 00:00:00,109.504,109.63,109.465,109.583,8963,0,0
2019-05-28 04:00:00,109.583,109.596,109.431,109.551,7720,0,0
2019-05-28 08:00:00,109.551,109.565,109.211,109.227,14437,0,0
2019-05-28 12:00:00,109.23,109.538,109.23,109.444,13667,0,0
2019-05-28 16:00:00,109.443,109.61,109.36,109.543,17820,0,0
2019-05-28 20:00:00,109.543,109.564,109.328,109.371,9429,0,0
2019-05-29 00:00:00,109.369,109.39,109.149,109.275,10982,0,0
2019-05-29 04:00:00,109.275,109.437,109.237,109.24,11112,0,0
2019-05-29 08:00:00,109.24,109.306,109.154,109.255,15871,0,0
2019-05-29 12:00:00,109.255,109.417,109.192,109.349,12231,0,0
2019-05-29 16:00:00,109.349,109.468,109.191,109.37,19723,0,0
2019-05-29 20:00:00,109.37,109.699,109.356,109.589,12191,0,0
2019-05-30 00:00:00,109.591,109.64,109.477,109.501,12047,0,0
2019-05-30 04:00:00,109.501,109.715,109.487,109.684,10500,0,0
2019-05-30 08:00:00,109.684,109.827,109.652,109.707,11527,0,0
2019-05-30 12:00:00,109.707,109.746,109.656,109.672,10757,0,0
2019-05-30 16:00:00,109.672,109.926,109.631,109.694,14876,0,0
2019-05-30 20:00:00,109.694,109.701,109.474,109.626,9822,0,0
2019-05-31 00:00:00,109.619,109.621,109.224,109.272,13459,0,0
2019-05-31 04:00:00,109.271,109.399,108.985,109.015,17436,0,0
2019-05-31 08:00:00,109.015,109.027,108.756,108.787,16876,0,0
2019-05-31 12:00:00,108.787,108.907,108.711,108.799,16487,0,0
2019-05-31 16:00:00,108.8,108.865,108.508,108.521,21852,0,0
2019-05-31 20:00:00,108.521,108.58,108.279,108.291,14245,0,0
2019-06-03 00:00:00,108.277,108.343,108.172,108.293,10441,0,0
2019-06-03 04:00:00,108.293,108.303,108.07,108.071,12700,0,0
2019-06-03 08:00:00,108.071,108.382,108.071,108.273,18182,0,0
2019-06-03 12:00:00,108.274,108.396,108.239,108.343,11613,0,0
2019-06-03 16:00:00,108.346,108.447,108.197,108.273,19119,0,0
2019-06-03 20:00:00,108.273,108.326,107.884,108.067,18923,0,0
2019-06-04 00:00:00,108.067,108.088,107.898,107.918,14024,0,0
2019-06-04 04:00:00,107.918,108.042,107.857,107.968,11894,0,0
2019-06-04 08:00:00,107.972,108.166,107.845,108.137,14418,0,0
2019-06-04 12:00:00,108.137,108.276,107.915,108.202,15110,0,0
2019-06-04 16:00:00,108.204,108.359,107.982,108.229,19438,0,0
2019-06-04 20:00:00,108.229,108.248,108.005,108.147,9108,0,0
2019-06-05 00:00:00,108.141,108.271,108.113,108.14,9543,0,0
2019-06-05 04:00:00,108.141,108.174,108.03,108.091,8495,0,0
2019-06-05 08:00:00,108.091,108.299,107.971,108.249,11641,0,0
2019-06-05 12:00:00,108.248,108.384,107.814,107.957,19799,0,0
2019-06-05 16:00:00,107.958,108.349,107.915,108.322,26190,0,0
2019-06-05 20:00:00,108.322,108.486,108.302,108.455,9936,0,0
2019-06-06 00:00:00,108.459,108.464,108.183,108.345,14971,0,0
2019-06-06 04:00:00,108.345,108.36,108.199,108.201,7628,0,0
2019-06-06 08:00:00,108.201,108.268,108.07,108.167,12989,0,0
2019-06-06 12:00:00,108.165,108.242,108.027,108.11,16028,0,0
2019-06-06 16:00:00,108.11,108.324,108.046,108.197,18534,0,0
2019-06-06 20:00:00,108.197,108.563,108.182,108.385,12698,0,0
2019-06-07 00:00:00,108.403,108.535,108.32,108.45,12143,0,0
2019-06-07 04:00:00,108.45,108.516,108.389,108.47,9169,0,0
2019-06-07 08:00:00,108.469,108.51,108.399,108.5,10126,0,0
2019-06-07 12:00:00,108.5,108.617,107.881,107.991,14423,0,0
2019-06-07 16:00:00,107.989,108.207,107.919,108.124,19818,0,0
2019-06-07 20:00:00,108.124,108.257,108.078,108.196,10875,0,0
