time,Open,High,Low,Close,Volume,spread,real_volume
2019-05-27 00:00:00,1.00172,1.00232,1.00102,1.00226,2160,0,0
2019-05-27 04:00:00,1.00226,1.0029,1.00169,1.00288,2509,0,0
2019-05-27 08:00:00,1.00289,1.0063,1.00278,1.00578,6511,0,0
2019-05-27 12:00:00,1.00578,1.00584,1.00483,1.00522,4896,0,0
2019-05-27 16:00:00,1.00523,1.00568,1.00393,1.00414,4026,0,0
2019-05-27 20:00:00,1.00414,1.00414,1.00372,1.00381,889,0,0
2019-05-28 00:00:00,1.00373,1.00425,1.00345,1.00394,2038,0,0
2019-05-28 04:00:00,1.00394,1.00497,1.00382,1.00487,3367,0,0
2019-05-28 08:00:00,1.00486,1.00512,1.00343,1.00357,8651,0,0
2019-05-28 12:00:00,1.00358,1.00626,1.00352,1.006,8694,0,0
2019-05-28 16:00:00,1.006,1.00983,1.0052,1.00898,13367,0,0
2019-05-28 20:00:00,1.00898,1.00918,1.0072,1.00767,5576,0,0
2019-05-29 00:00:00,1.00756,1.00762,1.00643,1.00654,3820,0,0
2019-05-29 04:00:00,1.00654,1.00699,1.00584,1.00605,4076,0,0
2019-05-29 08:00:00,1.00605,1.00666,1.00543,1.0056,8014,0,0
2019-05-29 12:00:00,1.0056,1.00679,1.00499,1.00652,9206,0,0
2019-05-29 16:00:00,1.00653,1.00831,1.00631,1.00693,15291,0,0
2019-05-29 20:00:00,1.00693,1.00863,1.00685,1.00784,6083,0,0
2019-05-30 00:00:00,1.00786,1.00849,1.007,1.00777,2950,0,0
2019-05-30 04:00:00,1.00778,1.00793,1.00717,1.0072,3849,0,0
2019-05-30 08:00:00,1.00721,1.00948,1.00716,1.00921,6107,0,0
2019-05-30 12:00:00,1.00921,1.00981,1.0076,1.00829,6551,0,0
2019-05-30 16:00:00,1.00829,1.00945,1.00722,1.00774,11249,0,0
2019-05-30 20:00:00,1.00774,1.00806,1.00699,1.00789,4748,0,0
2019-05-31 00:00:00,1.00773,1.00795,1.00586,1.00589,4778,0,0
2019-05-31 04:00:00,1.00589,1.00644,1.00517,1.00531,5580,0,0
2019-05-31 08:00:00,1.00531,1.00652,1.00467,1.0053,9333,0,0
2019-05-31 12:00:00,1.0053,1.00646,1.00316,1.00532,12282,0,0
2019-05-31 16:00:00,1.00532,1.00603,1.0017,1.00189,16235,0,0
2019-05-31 20:00:00,1.00188,1.00252,1.0001,1.00074,7807,0,0
2019-06-03 00:00:00,1.00113,1.00172,0.99896,0.999,4458,0,0
2019-06-03 04:00:00,0.99899,0.99939,0.99721,0.9978,5527,0,0
2019-06-03 08:00:00,0.9978,0.99995,0.99549,0.99685,10315,0,0
2019-06-03 12:00:00,0.99685,0.99972,0.99657,0.99803,9744,0,0
2019-06-03 16:00:00,0.99804,0.99999,0.99652,0.99695,15457,0,0
2019-06-03 20:00:00,0.99695,0.99698,0.99104,0.9924,12310,0,0
2019-06-04 00:00:00,0.99233,0.99275,0.99206,0.99243,2925,0,0
2019-06-04 04:00:00,0.99243,0.99333,0.99231,0.99326,5566,0,0
2019-06-04 08:00:00,0.99326,0.99407,0.99028,0.99406,11029,0,0
2019-06-04 12:00:00,0.99406,0.99493,0.99208,0.99461,12621,0,0
2019-06-04 16:00:00,0.99465,0.99563,0.99154,0.9938,16924,0,0
2019-06-04 20:00:00,0.9938,0.99399,0.99037,0.99209,7379,0,0
2019-06-05 00:00:00,0.99207,0.99256,0.99181,0.9922,2448,0,0
2019-06-05 04:00:00,0.9922,0.99246,0.99087,0.99214,4330,0,0
2019-06-05 08:00:00,0.99214,0.99291,0.9902,0.99205,8849,0,0
2019-06-05 12:00:00,0.99206,0.99289,0.98538,0.98691,17394,0,0
2019-06-05 16:00:00,0.98692,0.99417,0.9864,0.99366,23920,0,0
2019-06-05 20:00:00,0.99365,0.99508,0.99359,0.99474,7023,0,0
2019-06-06 00:00:00,0.99455,0.99482,0.99369,0.99436,3900,0,0
2019-06-06 04:00:00,0.99436,0.99484,0.99399,0.99422,4009,0,0
2019-06-06 08:00:00,0.99422,0.99475,0.99349,0.99451,8392,0,0
2019-06-06 12:00:00,0.99451,0.99612,0.99002,0.99122,17886,0,0
2019-06-06 16:00:00,0.9912,0.99339,0.98796,0.98892,20530,0,0
2019-06-06 20:00:00,0.98892,0.99252,0.9887,0.99129,9921,0,0
2019-06-07 00:00:00,0.99126,0.99172,0.99077,0.99126,3174,0,0
2019-06-07 04:00:00,0.99126,0.99196,0.99115,0.99175,4956,0,0
2019-06-07 08:00:00,0.99175,0.99411,0.99155,0.99389,8341,0,0
2019-06-07 12:00:00,0.99388,0.99501,0.98617,0.9875,14207,0,0
2019-06-07 16:00:00,0.98749,0.98904,0.98592,0.98651,18831,0,0
2019-06-07 20:00:00,0.98651,0.98791,0.98635,0.98766,7205,0,0
2019-06-10 00:00:00,0.98911,0.99039,0.98804,0.99019,3764,0,0
2019-06-10 04:00:00,0.99019,0.99109,0.99008,0.99109,5414,0,0
2019-06-10 08:00:00,0.99109,0.99151,0.98998,0.99067,7947,0,0
2019-06-10 12:00:00,0.99067,0.99171,0.98971,0.99006,8587,0,0
2019-06-10 16:00:00,0.99005,0.99201,0.98919,0.98942,10439,0,0
2019-06-10 20:00:00,0.98942,0.99032,0.98849,0.98986,6159,0,0
2019-06-11 00:00:00,0.98962,0.98995,0.98896,0.98976,4703,0,0
2019-06-11 04:00:00,0.98976,0.99024,0.98938,0.98984,4775,0,0
