time,Open,High,Low,Close,Volume,spread,real_volume
2024-03-20 01:00:00,0.88769,0.88828,0.88769,0.8881,2183,0,0
2024-03-20 02:00:00,0.8881,0.88864,0.88803,0.88859,708,0,0
2024-03-20 03:00:00,0.8886,0.889,0.88855,0.88864,1678,0,0
2024-03-20 04:00:00,0.88863,0.88917,0.88857,0.88907,1575,0,0
2024-03-20 05:00:00,0.88908,0.88926,0.8887,0.88881,1243,0,0
2024-03-20 06:00:00,0.88881,0.88889,0.88848,0.88854,733,0,0
2024-03-20 07:00:00,0.88854,0.88927,0.88851,0.88925,1713,0,0
2024-03-20 08:00:00,0.88925,0.88955,0.88905,0.88921,2000,0,0
2024-03-20 09:00:00,0.88921,0.88962,0.88902,0.88918,2264,0,0
2024-03-20 10:00:00,0.88918,0.88985,0.88862,0.88985,3406,0,0
2024-03-20 11:00:00,0.88985,0.89047,0.88962,0.89012,3541,0,0
2024-03-20 12:00:00,0.89012,0.8915,0.89009,0.89106,3129,0,0
2024-03-20 13:00:00,0.89106,0.89188,0.89104,0.8913,2777,0,0
2024-03-20 14:00:00,0.8913,0.89131,0.89036,0.89065,2741,0,0
2024-03-20 15:00:00,0.89065,0.89095,0.89036,0.89051,2335,0,0
2024-03-20 16:00:00,0.89051,0.89133,0.89038,0.89125,2823,0,0
2024-03-20 17:00:00,0.89125,0.8914,0.89026,0.8909,3354,0,0
2024-03-20 18:00:00,0.8909,0.89165,0.89064,0.89118,2504,0,0
2024-03-20 19:00:00,0.89118,0.89142,0.89054,0.89078,2307,0,0
2024-03-20 20:00:00,0.89078,0.89167,0.89072,0.89095,3270,0,0
2024-03-20 21:00:00,0.89095,0.89137,0.88631,0.88645,13871,0,0
2024-03-20 22:00:00,0.88642,0.88711,0.88593,0.8867,7648,0,0
2024-03-20 23:00:00,0.8867,0.88714,0.88648,0.88676,2343,0,0
2024-03-21 00:00:00,0.88533,0.88671,0.88533,0.8867,3988,11,0
2024-03-21 01:00:00,0.8867,0.88672,0.88574,0.88574,3197,0,0
2024-03-21 02:00:00,0.88574,0.88589,0.88544,0.88566,2053,0,0
2024-03-21 03:00:00,0.88566,0.88577,0.885,0.88508,3495,0,0
2024-03-21 04:00:00,0.88508,0.88521,0.88395,0.88433,5776,0,0
2024-03-21 05:00:00,0.88433,0.88507,0.88421,0.88493,2561,0,0
2024-03-21 06:00:00,0.88493,0.88523,0.88471,0.88497,2750,0,0
2024-03-21 07:00:00,0.88497,0.8854,0.88485,0.88533,2066,0,0
2024-03-21 08:00:00,0.88534,0.88593,0.88517,0.88562,1801,0,0
2024-03-21 09:00:00,0.88562,0.88588,0.88516,0.88526,2129,0,0
2024-03-21 10:00:00,0.88526,0.88553,0.8845,0.88533,3999,0,0
2024-03-21 11:00:00,0.88534,0.89743,0.88534,0.89488,8590,0,0
2024-03-21 12:00:00,0.89488,0.89687,0.89263,0.89467,6086,0,0
2024-03-21 13:00:00,0.89467,0.89467,0.8924,0.8926,6363,0,0
2024-03-21 14:00:00,0.8926,0.89352,0.89242,0.89318,4199,0,0
2024-03-21 15:00:00,0.89318,0.89541,0.89268,0.89468,6714,0,0
2024-03-21 16:00:00,0.89468,0.89824,0.89468,0.89748,7179,0,0
2024-03-21 17:00:00,0.89743,0.89914,0.89743,0.89836,7173,0,0
2024-03-21 18:00:00,0.89836,0.89929,0.8979,0.89927,4769,0,0
2024-03-21 19:00:00,0.89927,0.89942,0.89819,0.89824,3680,0,0
2024-03-21 20:00:00,0.89824,0.89883,0.89788,0.89835,3042,0,0
2024-03-21 21:00:00,0.89835,0.89841,0.89798,0.89807,1994,0,0
2024-03-21 22:00:00,0.89803,0.89856,0.89795,0.89806,1234,0,0
2024-03-21 23:00:00,0.89805,0.89822,0.89742,0.89751,1359,0,0
2024-03-22 00:00:00,0.89714,0.89759,0.89707,0.8972,1294,20,0
2024-03-22 01:00:00,0.89729,0.89799,0.89706,0.89773,1401,0,0
2024-03-22 02:00:00,0.89773,0.89785,0.89757,0.89776,714,0,0
