time,Open,High,Low,Close,Volume,spread,real_volume,symbol,timeframe,bars,returns,log_returns,hour,day_of_week,month
2019-05-27 00:00:00,1.1209,1.12114,1.12033,1.12071,1966,0,0,EURUSD,H4,10000bars,,,0,0,5
2019-05-27 00:00:00,1.27249,1.27304,1.2714,1.27272,3399,0,0,GBPUSD,H4,10000bars,,,0,0,5
2019-05-27 00:00:00,109.266,109.513,109.266,109.481,6843,0,0,USDJPY,H4,10000bars,,,0,0,5
2019-05-27 00:00:00,1.00172,1.00232,1.00102,1.00226,2160,0,0,USDCHF,H4,10000bars,,,0,0,5
2019-05-27 04:00:00,1.12071,1.12151,1.12066,1.12067,2758,0,0,EURUSD,H4,10000bars,-3.569165975148003e-05,-3.569229671392415e-05,4,0,5
2019-05-27 04:00:00,1.27272,1.27388,1.27245,1.27311,5659,0,0,GBPUSD,H4,10000bars,0.0003064303224589171,0.0003063833822766746,4,0,5
2019-05-27 04:00:00,109.481,109.5,109.405,109.483,9030,0,0,USDJPY,H4,10000bars,1.826800997450917e-05,1.8267843116447063e-05,4,0,5
2019-05-27 04:00:00,1.00226,1.0029,1.00169,1.00288,2509,0,0,USDCHF,H4,10000bars,0.0006186019595715297,0.000618410704249217,4,0,5
2019-05-27 08:00:00,1.27311,1.27478,1.2705,1.2706,15246,0,0,GBPUSD,H4,10000bars,-0.0019715499838977024,-0.001973496046828117,8,0,5
2019-05-27 08:00:00,1.12067,1.12113,1.11919,1.11928,6917,0,0,EURUSD,H4,10000bars,-0.00124032944577801,-0.0012410992909853353,8,0,5
2019-05-27 08:00:00,109.483,109.585,109.461,109.491,11133,0,0,USDJPY,H4,10000bars,7.307070504092295e-05,7.306803550699772e-05,8,0,5
2019-05-27 08:00:00,1.00289,1.0063,1.00278,1.00578,6511,0,0,USDCHF,H4,10000bars,0.0028916719846840966,0.0028874991436401436,8,0,5
2019-05-27 12:00:00,1.00578,1.00584,1.00483,1.00522,4896,0,0,USDCHF,H4,10000bars,-0.0005567818011890102,-0.0005569368617353428,12,0,5
2019-05-27 12:00:00,1.11928,1.11985,1.11912,1.11964,5234,0,0,EURUSD,H4,10000bars,0.00032163533700235725,0.0003215836234456606,12,0,5
2019-05-27 12:00:00,1.2706,1.27091,1.26736,1.26775,14031,0,0,GBPUSD,H4,10000bars,-0.002243034786714948,-0.0022455541573044397,12,0,5
2019-05-27 12:00:00,109.491,109.511,109.444,109.502,6026,0,0,USDJPY,H4,10000bars,0.00010046487839177054,0.0001004598321338537,12,0,5
2019-05-27 16:00:00,1.26775,1.26837,1.26671,1.26812,7475,0,0,GBPUSD,H4,10000bars,0.00029185564977329825,0.00029181306819806,16,0,5
2019-05-27 16:00:00,1.11965,1.11997,1.11871,1.11911,4393,0,0,EURUSD,H4,10000bars,-0.0004733664392125858,-0.0004734785124746817,16,0,5
2019-05-27 16:00:00,1.00523,1.00568,1.00393,1.00414,4026,0,0,USDCHF,H4,10000bars,-0.0010743916754540894,-0.0010749692479199917,16,0,5
2019-05-27 16:00:00,109.502,109.564,109.47,109.533,4917,0,0,USDJPY,H4,10000bars,0.0002830998520575445,0.00028305978685588373,16,0,5
2019-05-27 20:00:00,109.532,109.551,109.507,109.524,2667,0,0,USDJPY,H4,10000bars,-8.216701815888516e-05,-8.217039405324778e-05,20,0,5
2019-05-27 20:00:00,1.26811,1.2683,1.26731,1.26785,11488,0,0,GBPUSD,H4,10000bars,-0.00021291360439079643,-0.00021293627371005852,20,0,5
